model,dataset,param,value,CHAR,Fid+,Fid-,AUFSC+,Sparsity,val_CHAR,Fid+_05,Fid-_05,Fid+_10,Fid-_10,Fid+_15,Fid-_15,Fid+_20,Fid-_20,Fid+_25,Fid-_25,Fid+_30,Fid-_30,Fid+_40,Fid-_40,Fid+_50,Fid-_50
tgn,wikipedia,lambda_ind,1.0,0.6114403276921404,0.44308030989373864,0.9861563862664579,0.21394521823800858,0.27690658500201765,0.6385987678678731,0.19436095000211676,0.9839126201261589,0.2884297870538927,0.984716989119851,0.3747512806401084,0.9857330341645146,0.44308030989373864,0.9861563862664579,0.5000635028152914,0.9872994369417044,0.5416790144363067,0.9859023750052919,0.5853266161466492,0.9856060285339316,0.5922272554083231,0.9862833918970407
tgn,wikipedia,lambda_ind,2.0,0.6057368182351444,0.4368993692053681,0.98725710173151,0.20706362982092208,0.2756339107912888,0.626443016827648,0.16074679310782777,0.9867914144193726,0.2863976969645654,0.9866220735785953,0.3712797934041743,0.9860293806358749,0.4368993692053681,0.98725710173151,0.4880826383302993,0.987384107362093,0.5298251555818975,0.9864103975276237,0.5664451123999831,0.9848016595402396,0.5506117437873079,0.9863257271072351
tgn,wikipedia,target_spa,0.05,0.6562411113391616,0.4927395114516744,0.9821345412979976,0.22422632403369883,0.19056016834202225,0.6655511419033278,0.15638626645781295,0.9821345412979976,0.3167943778840862,0.9821345412979976,0.4113289022479997,0.9821345412979976,0.4927395114516744,0.9821345412979976,0.5436687693154396,0.9822615469285805,0.5722027009864104,0.9822615469285805,0.60111764954913,0.9821345412979976,0.5812624359679945,0.9821345412979976
tgn,wikipedia,target_spa,0.1,0.6253788584713986,0.45865966724524787,0.9825155581897465,0.2140648152068075,0.21521858973266558,0.6459233378249353,0.1644299563947335,0.9821345412979976,0.2929173193344905,0.9821345412979976,0.38719783243723804,0.9821345412979976,0.45865966724524787,0.9825155581897465,0.5239405613648872,0.9825155581897465,0.5475212734431226,0.9830235807120782,0.5623385970111342,0.9834469328140214,0.5904068413699674,0.9831929215528555
tgn,wikipedia,target_spa,0.15,0.6117645622012537,0.44388467888743066,0.9838702849159646,0.20218978874730112,0.24695124739421362,0.6293822203061624,0.1747174124719529,0.9823885525591635,0.2940180347995428,0.9824732229795521,0.38287964099741756,0.9837432792853816,0.44388467888743066,0.9838702849159646,0.4910884382540959,0.9844629778586851,0.5142034630201939,0.9850980060115998,0.5270733669192668,0.9851403412217942,0.5191143474027349,0.9839972905465476
tgn,wikipedia,target_spa,0.2,0.6077377318022963,0.4391854705558613,0.9862410566868465,0.21133842767029337,0.2745491503826382,0.6308407802237025,0.17780788281613819,0.9823462173489691,0.27780364929511875,0.9828119046611067,0.36425214851191734,0.9862833918970407,0.4391854705558613,0.9862410566868465,0.4919774776681766,0.985521358113543,0.536683459633377,0.9861563862664579,0.5805850726048855,0.9843783074382965,0.598450531306888,0.985521358113543
tgn,wikipedia,target_spa,0.25,0.6123918476120804,0.44401168451801365,0.9864950679480123,0.22408979298082216,0.30664157151266225,0.6379338277198151,0.2089665975191567,0.9824308877693578,0.28859912789467,0.9839972905465476,0.3657762160789128,0.9867914144193726,0.44401168451801365,0.9864950679480123,0.5186486600905974,0.9863680623174295,0.5702976165276661,0.9870030904703442,0.6326997163540917,0.9858600397950976,0.6394310147749883,0.9862833918970407
tgn,wikipedia,target_spa,0.35,0.5473876490544886,0.3783921087168198,0.9891621861902544,0.20867342618856102,0.3742771118186652,0.5814789187251913,0.24181872062994791,0.9824732229795521,0.2715803733965539,0.9872147665213158,0.3227636425214851,0.9881461411455907,0.3783921087168198,0.9891621861902544,0.4346132678548749,0.9869184200499556,0.5043393590449177,0.9868760848397612,0.6035307565302062,0.9884001524067567,0.6816392193387241,0.987638118623259
tgn,wikipedia,lr,0.0001,0.5664631000849378,0.39723127725329155,0.9869184200499556,0.20072922399559714,0.2680883008940502,0.6060863187043565,0.14021421616358326,0.9821345412979976,0.2727657592819948,0.9830659159222725,0.3465983658608865,0.9843359722281021,0.39723127725329155,0.9869184200499556,0.45755895178019557,0.9859447102154862,0.5052707336691926,0.9842513018077135,0.5694085771135854,0.9862833918970407,0.5735997629228229,0.9874687777824817
tgn,wikipedia,lr,0.0003,0.6253731554021708,0.4578552982515558,0.9861987214766521,0.21912281444477372,0.27469266801321823,0.6431245292411487,0.1750984293637018,0.9834892680242158,0.28593200965242793,0.9858177045849033,0.38292197620761187,0.9881884763557851,0.4578552982515558,0.9861987214766521,0.5161085474789382,0.9850980060115998,0.5598408196096694,0.9861987214766521,0.6056051818297278,0.9853520172727658,0.60111764954913,0.9853520172727658
tgn,wikipedia,lr,0.0005,0.6077377318022963,0.4391854705558613,0.9862410566868465,0.21133842767029337,0.2745491503826382,0.6308407802237025,0.17780788281613819,0.9823462173489691,0.27780364929511875,0.9828119046611067,0.36425214851191734,0.9862833918970407,0.4391854705558613,0.9862410566868465,0.4919774776681766,0.985521358113543,0.536683459633377,0.9861563862664579,0.5805850726048855,0.9843783074382965,0.598450531306888,0.985521358113543
tgn,wikipedia,lr,0.001,0.6148424917483049,0.44722916049278183,0.9834045976038271,0.21206447652512594,0.27326193466832405,0.619213387120188,0.2565090385673765,0.9821345412979976,0.29279031370390757,0.9821345412979976,0.3613733542187037,0.9828542398713009,0.44722916049278183,0.9834045976038271,0.5125947250328098,0.9828119046611067,0.5492570170610898,0.9828119046611067,0.5635663181067694,0.9812031666737225,0.5480292959654545,0.9820922060878032
tgn,wikipedia,lr,0.002,0.6308261592611429,0.4646289318826468,0.9821345412979976,0.2315746581431777,0.2739790872412498,0.6361570914088499,0.3623047288429787,0.9821345412979976,0.38055120443673,0.9821345412979976,0.4252148511917362,0.9821345412979976,0.4646289318826468,0.9821345412979976,0.5245755895178019,0.9821345412979976,0.567757503916007,0.9821345412979976,0.595402396172897,0.9821345412979976,0.612929173193345,0.9822615469285805
tgn,wikipedia,hidden_dim,64.0,0.6186633108527547,0.4509546589898819,0.9849710003810169,0.21454637822276784,0.2731567010359802,0.643882514186325,0.16815545489183353,0.9821345412979976,0.28212184073493923,0.9830659159222725,0.37381990601583337,0.9832352567630498,0.4509546589898819,0.9849710003810169,0.505313068879387,0.9859023750052919,0.5468015748698192,0.985775369374709,0.5901104948986071,0.9864950679480123,0.5942170102874561,0.9851826764319885
tgn,wikipedia,hidden_dim,128.0,0.6077377318022963,0.4391854705558613,0.9862410566868465,0.21133842767029337,0.2745491503826382,0.6308407802237025,0.17780788281613819,0.9823462173489691,0.27780364929511875,0.9828119046611067,0.36425214851191734,0.9862833918970407,0.4391854705558613,0.9862410566868465,0.4919774776681766,0.985521358113543,0.536683459633377,0.9861563862664579,0.5805850726048855,0.9843783074382965,0.598450531306888,0.985521358113543
tgn,wikipedia,hidden_dim,256.0,0.6385760626788536,0.4723339401380128,0.98539435248296,0.2257080563905,0.27301703290095564,0.6509312509630902,0.17416705473942679,0.9824732229795521,0.28322255619999154,0.982727234240718,0.3885102239532619,0.9834469328140214,0.4723339401380128,0.98539435248296,0.5336353244993861,0.9849710003810169,0.5846492527835401,0.9848439947504339,0.6240633334744508,0.9845476482790737,0.6242750095254223,0.9838279497057703
tgn,wikipedia,hidden_dim,512.0,0.5766422857418456,0.4078150798018712,0.9839972905465476,0.20245650057152534,0.2739544983747109,0.605049710289723,0.15592057914567545,0.983785614495576,0.2591761568096186,0.9823038821387748,0.3302993099360738,0.9836162736547986,0.4078150798018712,0.9839972905465476,0.47017484441810253,0.9837009440751874,0.5209770966512849,0.9822192117183862,0.5748698192286524,0.9840819609669362,0.5724990474577706,0.9845476482790737
